date,container_throughput
2017-03-28,2691.61
2017-04-28,2724.42
2017-05-28,2990.92
2017-06-28,2822.43
2017-07-28,2876.98
2017-08-28,2947.37
2017-09-28,2800.01
2017-10-28,2957.15
2017-11-28,2977.1
2017-12-28,2958.14
2018-01-28,2992.88
2018-02-28,2822.93
2018-03-28,3048.81
2018-04-28,2915.26
2018-05-28,3182.81
2018-06-28,3058.65
2018-07-28,3133.54
2018-08-28,3156.34
2018-09-28,2988.93
2018-10-28,3153.06
2018-11-28,3014.71
2018-12-28,3131.35
2019-01-28,2999.11
2019-02-28,2740.5305
2019-03-28,3163.9035
2019-04-28,2992.129
2019-05-28,3137.76375
2019-06-28,2996.988
2019-07-28,3235.35225
2019-08-28,3133.74025
2019-09-28,3093.85625
2019-10-28,3234.3985
2019-11-28,3267.698
2019-12-28,3200.16625
2020-01-28,3182.59925
2020-02-28,2898.68675
2020-03-28,3197.87925
2020-04-28,2843.48425
2020-05-28,2806.7205
2020-06-28,2907.67175
2020-07-28,3016.32
2020-08-28,3174.6955
2020-09-28,3207.67175
2020-10-28,3238.69375
2020-11-28,3134.6465
2020-12-28,3261.8345
2021-01-28,3156.02175
2021-02-28,2881.58675
2021-03-28,3270.57475
2021-04-28,3091.28075
2021-05-28,3216.90425
2021-06-28,3114.5065
2021-07-28,3123.5595
2021-08-28,3182.281
2021-09-28,3117.3595
